id,type,products,issue_types,text
single_025,single,적금,자동이체누락안내,자동이체가 14일 실패해서 우대금리가 빠졌는데 사전 안내를 못 받았어요.
single_026,single,적금,자동이체누락안내,이체 실패로 우대조건이 깨졌다는 걸 만기 때가 돼서야 알게 됐어요.
single_027,single,적금,자동이체누락안내,자동이체 실패 안내를 못 받아서 우대금리 0.5%를 놓쳤어요.
single_028,single,적금,민원처리지연,적금 관련 문의를 넣었는데 14일째 답변이 없어요.
single_029,single,적금,민원처리지연,"적금 우대금리 문의했는데 콜센터에서 계속 확인 중이라고만 해요, 10일째요."
single_030,single,적금,민원처리지연,"적금 관련 민원을 제기했는데 처리 상태를 알 수가 없어요, 14일 지났어요."
single_031,single,대출,금리인상미통지,대출 금리가 0.5%p 올랐는데 사전 안내 문자나 메일을 받은 적이 없어요.
single_032,single,대출,금리인상미통지,변동금리 대출인데 0.3%p 인상 안내를 사전에 못 받았어요.
single_033,single,대출,금리인상미통지,대출 금리가 갑자기 1.0%p 오른 걸 이번 달 청구서 보고 알았어요.
single_034,single,대출,설명의무위반,대출 상품 설명을 제대로 못 듣고 계약서에 서명부터 했어요.
single_035,single,대출,설명의무위반,대출 조건에 대한 설명 없이 빠르게 서류만 작성하고 끝났어요.
single_036,single,대출,설명의무위반,대출 금리 산정 기준을 설명받은 적이 없어요.
single_037,single,대출,연체이자과다,"며칠 연체했다고 연체이자가 150000원이나 붙었어요, 너무 과도한 것 같아요."
single_038,single,대출,연체이자과다,연체 5일 만에 이자가 50000원 넘게 부과됐어요.
single_039,single,대출,연체이자과다,연체이자 계산이 약관과 다르게 120000원 더 붙은 것 같아요.
single_040,single,대출,중도상환수수료,중도상환수수료가 계약 당시 안내받은 것보다 80000원 더 청구됐어요.
single_041,single,대출,중도상환수수료,대출을 조기상환했는데 수수료가 200000원 예상보다 많이 나왔어요.
single_042,single,대출,중도상환수수료,중도상환수수료 산정 기준이 계약서 내용과 200000원 정도 차이가 나요.
single_043,single,대출,채권추심과다,연체된 지 며칠 안 됐는데 추심 연락이 하루에 여러 번 와요.
single_044,single,대출,채권추심과다,대출 연체 관련 추심 전화가 너무 잦고 부담스러워요.
single_045,single,대출,채권추심과다,연체 초기인데도 채권추심 연락 방식이 지나친 것 같아요.
single_046,single,펀드,위험설명부족,펀드 가입할 때 원금손실 위험에 대한 설명을 제대로 못 들었어요.
single_047,single,펀드,위험설명부족,펀드 위험등급이 높다는 걸 가입 후에야 알게 됐어요.
single_048,single,펀드,위험설명부족,펀드 상품의 손실 가능성을 충분히 설명받지 못하고 가입했어요.
single_049,single,펀드,환매지연,펀드 환매를 신청했는데 10일째 처리가 안 되고 있어요.
single_050,single,펀드,환매지연,환매 신청 후 예상보다 14일 더 지연되고 있습니다.
single_051,single,펀드,환매지연,펀드 환매금이 안내받은 날짜보다 5일 늦게 들어왔어요.
single_052,single,펀드,수수료미고지,펀드에서 설명받지 못한 수수료 120000원이 빠져나갔어요.
single_053,single,펀드,수수료미고지,가입 시 안내받지 못한 보수가 50000원 차감돼 있었어요.
single_054,single,펀드,수수료미고지,펀드 운용보수 외에 추가로 30000원이 빠져나간 이유를 모르겠어요.
single_055,single,펀드,해지절차복잡,펀드를 해지하려는데 절차가 너무 복잡하고 안내가 부족해요.
single_056,single,펀드,해지절차복잡,펀드 해지 신청 방법을 문의했는데 명확한 답을 못 받았어요.
single_057,single,펀드,해지절차복잡,펀드 계좌 해지를 요청했는데 처리 절차 안내가 불충분해요.
single_058,single,펀드,손실민원부실,펀드 손실 관련해서 문의했는데 답변이 형식적이고 부실해요.
single_059,single,펀드,손실민원부실,펀드 손실 원인을 물었는데 명확한 설명을 못 들었어요.
single_060,single,펀드,손실민원부실,펀드 손실에 대한 민원 답변이 원론적인 얘기뿐이었어요.
single_061,single,ELS,원금손실설명부족,ELS 가입할 때 원금손실 가능성에 대한 설명을 제대로 못 들었어요.
single_062,single,ELS,원금손실설명부족,ELS가 예금처럼 안전하다고 들었는데 실제론 원금손실 위험이 컸어요.
single_063,single,ELS,원금손실설명부족,ELS 기초자산 하락 시 손실 구조를 충분히 설명받지 못했어요.
single_064,single,ELS,상환금과소지급,ELS 만기 상환금이 예상보다 12만원 적게 나왔어요.
single_065,single,ELS,상환금과소지급,ELS 조기상환 조건을 충족한 줄 알았는데 상환금이 5만원 부족해요.
single_066,single,ELS,상환금과소지급,ELS 만기 정산 금액이 안내받은 것과 3만원 차이가 나요.
single_067,single,ELS,배상비율불만,ELS 배상 비율이 0.5%라고 안내받았는데 산정 기준을 이해할 수가 없어요.
single_068,single,ELS,배상비율불만,배상비율 0.5%가 어떻게 계산된 건지 설명을 못 들었어요.
single_069,single,ELS,배상비율불만,ELS 배상 협상에서 제시된 1.0%가 부당하게 낮다고 생각해요.
single_070,single,ELS,중도해지손실,ELS를 중도 해지하려는데 손실이 50만원이나 발생한다고 해요.
single_071,single,ELS,중도해지손실,ELS 중도상환을 요청했더니 50만원 손실을 감수해야 한다고 합니다.
single_072,single,ELS,중도해지손실,ELS 조기해지 시 손실 규모 12만원에 대한 설명이 부족했어요.
single_073,single,ELS,분쟁조정안내부족,ELS 관련 분쟁조정 신청 절차를 안내받지 못했어요.
single_074,single,ELS,분쟁조정안내부족,ELS 손실 관련해서 금감원 분쟁조정을 어떻게 신청하는지 몰라요.
single_075,single,ELS,분쟁조정안내부족,ELS 민원을 제기했는데 분쟁조정 제도에 대한 안내가 없었어요.
complex_001,complex,예금|적금,인출제한|민원처리지연,"예금 계좌에서 12만원을 인출하려는데 시스템에서 계속 거부돼요. 그런데 적금 우대금리 문의했는데 콜센터에서 계속 확인 중이라고만 해요, 10일째요."
complex_002,complex,예금|적금,계약해지_지연|자동이체누락안내,예금 계좌 해지 신청했는데 본인확인 서류 미비 때문에 5일 동안 미뤄지고 있습니다. 그런데 이체 실패로 우대조건이 깨졌다는 걸 만기 때가 돼서야 알게 됐어요.
complex_003,complex,예금|적금,인출제한|민원처리지연,"제 명의 예금 계좌인데 인출이 갑자기 제한돼서 15만원을 못 찾고 있어요. 아 그리고 적금 관련 민원을 제기했는데 처리 상태를 알 수가 없어요, 14일 지났어요."
complex_004,complex,예금|적금|펀드,금리적용오류|만기지급거절|수수료미고지,정기예금 우대금리를 0.3% 받기로 안내받았는데 실제로는 그보다 낮게 적용됐어요. 아 그리고 적금 만기일이 지났는데도 지급 처리가 5일째 안 되고 있습니다. 그리고 마지막으로 펀드에서 설명받지 못한 수수료 120000원이 빠져나갔어요.
complex_005,complex,예금|펀드,명의도용|환매지연,본인인증 없이 제 명의 예금계좌가 개설됐다는 통지를 받았어요. 또 펀드 환매를 신청했는데 10일째 처리가 안 되고 있어요.
complex_006,complex,예금|펀드,금리적용오류|수수료미고지,정기예금 우대금리를 0.3% 받기로 안내받았는데 실제로는 그보다 낮게 적용됐어요. 그런데 펀드에서 설명받지 못한 수수료 120000원이 빠져나갔어요.
complex_007,complex,예금|펀드,거래오류|수수료미고지,예금 거래내역서상 이자 금액이 제가 계산한 것과 200000원 차이가 있어요. 또 가입 시 안내받지 못한 보수가 50000원 차감돼 있었어요.
complex_008,complex,예금|적금|ELS,명의도용|중도해지위약금|중도해지손실,본인인증 없이 제 명의 예금계좌가 개설됐다는 통지를 받았어요. 아 그리고 급하게 적금을 해지했더니 계약서에 없던 수수료가 30000원 붙었어요. 그리고 마지막으로 ELS를 중도 해지하려는데 손실이 50만원이나 발생한다고 해요.
complex_009,complex,예금|대출,계약해지_지연|연체이자과다,예금 계좌 해지 신청했는데 본인확인 서류 미비 때문에 5일 동안 미뤄지고 있습니다. 또 연체이자 계산이 약관과 다르게 120000원 더 붙은 것 같아요.
complex_010,complex,예금|펀드,계약해지_지연|손실민원부실,계좌 해지하러 갔더니 전산 오류라며 오늘 처리를 안 해줬어요. 벌써 3일째예요. 그리고 펀드 손실에 대한 민원 답변이 원론적인 얘기뿐이었어요.
complex_011,complex,예금|대출,명의도용|설명의무위반,본인인증 없이 제 명의 예금계좌가 개설됐다는 통지를 받았어요. 또 대출 금리 산정 기준을 설명받은 적이 없어요.
complex_012,complex,예금|ELS|펀드,계약해지_지연|중도해지손실|환매지연,계좌 해지하러 갔더니 전산 오류라며 오늘 처리를 안 해줬어요. 벌써 3일째예요. 아 그리고 ELS 조기해지 시 손실 규모 12만원에 대한 설명이 부족했어요. 그리고 마지막으로 환매 신청 후 예상보다 14일 더 지연되고 있습니다.
complex_013,complex,예금|펀드,거래오류|손실민원부실,예금 거래내역서상 이자 금액이 제가 계산한 것과 200000원 차이가 있어요. 그리고 펀드 손실에 대한 민원 답변이 원론적인 얘기뿐이었어요.
complex_014,complex,예금|대출,명의도용|설명의무위반,본인인증 없이 제 명의 예금계좌가 개설됐다는 통지를 받았어요. 그리고 대출 조건에 대한 설명 없이 빠르게 서류만 작성하고 끝났어요.
complex_015,complex,예금|적금,명의도용|자동이체누락안내,본인인증 없이 제 명의 예금계좌가 개설됐다는 통지를 받았어요. 아 그리고 자동이체 실패 안내를 못 받아서 우대금리 0.5%를 놓쳤어요.
complex_016,complex,적금|펀드,만기지급거절|환매지연,만기된 적금을 찾으러 갔는데 본점 승인 대기 때문에 지급을 미루고 있어요. 아 그리고 환매 신청 후 예상보다 14일 더 지연되고 있습니다.
complex_017,complex,적금|펀드,우대금리설명부족|환매지연,적금 가입할 때 우대금리 0.8% 조건을 제대로 설명 안 해줬어요. 또 펀드 환매를 신청했는데 10일째 처리가 안 되고 있어요.
complex_018,complex,적금|ELS,중도해지위약금|상환금과소지급,중도해지 시 위약금 50000원이 청구됐는데 계약 내용과 달라요. 그리고 ELS 조기상환 조건을 충족한 줄 알았는데 상환금이 5만원 부족해요.
complex_019,complex,적금|ELS|대출,만기지급거절|원금손실설명부족|금리인상미통지,적금 만기일이 지났는데도 지급 처리가 5일째 안 되고 있습니다. 또 ELS 가입할 때 원금손실 가능성에 대한 설명을 제대로 못 들었어요. 그리고 마지막으로 대출 금리가 0.5%p 올랐는데 사전 안내 문자나 메일을 받은 적이 없어요.
complex_020,complex,적금|펀드,자동이체누락안내|위험설명부족,이체 실패로 우대조건이 깨졌다는 걸 만기 때가 돼서야 알게 됐어요. 게다가 펀드 상품의 손실 가능성을 충분히 설명받지 못하고 가입했어요.
complex_021,complex,적금|ELS,중도해지위약금|배상비율불만,중도해지 시 위약금 50000원이 청구됐는데 계약 내용과 달라요. 그리고 ELS 배상 협상에서 제시된 1.0%가 부당하게 낮다고 생각해요.
complex_022,complex,적금|예금,만기지급거절|명의도용,적금 만기일이 지났는데도 지급 처리가 5일째 안 되고 있습니다. 그런데 본인인증 없이 제 명의 예금계좌가 개설됐다는 통지를 받았어요.
complex_023,complex,적금|예금|대출,중도해지위약금|거래오류|연체이자과다,중도해지 시 위약금 50000원이 청구됐는데 계약 내용과 달라요. 그런데 이번 만기 예금 이자를 계산해보니 약관과 300000원 정도 차이가 나요. 그리고 마지막으로 연체이자 계산이 약관과 다르게 120000원 더 붙은 것 같아요.
complex_024,complex,적금|예금,만기지급거절|금리적용오류,만기된 적금을 찾으러 갔는데 본점 승인 대기 때문에 지급을 미루고 있어요. 또 예금 가입할 때 1.2% 금리라고 들었는데 만기 때 확인하니 다르게 계산돼 있었어요.
complex_025,complex,적금|예금,민원처리지연|명의도용,"적금 관련 민원을 제기했는데 처리 상태를 알 수가 없어요, 14일 지났어요. 또 본인인증 없이 제 명의 예금계좌가 개설됐다는 통지를 받았어요."
complex_026,complex,적금|대출,우대금리설명부족|중도상환수수료,적금 가입할 때 우대금리 0.8% 조건을 제대로 설명 안 해줬어요. 그리고 대출을 조기상환했는데 수수료가 200000원 예상보다 많이 나왔어요.
complex_027,complex,적금|ELS|펀드,우대금리설명부족|중도해지손실|위험설명부족,적금 우대조건 0.5%가 있다는 걸 만기 때가 돼서야 알았어요. 그런데 ELS 조기해지 시 손실 규모 12만원에 대한 설명이 부족했어요. 그리고 마지막으로 펀드 상품의 손실 가능성을 충분히 설명받지 못하고 가입했어요.
complex_028,complex,적금|대출,민원처리지연|채권추심과다,적금 관련 문의를 넣었는데 14일째 답변이 없어요. 게다가 연체 초기인데도 채권추심 연락 방식이 지나친 것 같아요.
complex_029,complex,적금|대출,만기지급거절|중도상환수수료,적금 만기가 5일 지났는데 아직 지급을 안 해주고 있어요. 또 중도상환수수료 산정 기준이 계약서 내용과 200000원 정도 차이가 나요.
complex_030,complex,적금|ELS,민원처리지연|분쟁조정안내부족,적금 관련 문의를 넣었는데 14일째 답변이 없어요. 그런데 ELS 관련 분쟁조정 신청 절차를 안내받지 못했어요.
complex_031,complex,대출|적금,설명의무위반|민원처리지연,대출 조건에 대한 설명 없이 빠르게 서류만 작성하고 끝났어요. 그리고 적금 관련 문의를 넣었는데 14일째 답변이 없어요.
complex_032,complex,대출|예금,연체이자과다|명의도용,"며칠 연체했다고 연체이자가 150000원이나 붙었어요, 너무 과도한 것 같아요. 게다가 저도 모르는 사이에 제 명의 예금 계좌가 만들어져 있었어요."
complex_033,complex,대출|적금,설명의무위반|민원처리지연,"대출 상품 설명을 제대로 못 듣고 계약서에 서명부터 했어요. 게다가 적금 우대금리 문의했는데 콜센터에서 계속 확인 중이라고만 해요, 10일째요."
complex_034,complex,대출|펀드|예금,설명의무위반|환매지연|계약해지_지연,대출 금리 산정 기준을 설명받은 적이 없어요. 그런데 펀드 환매를 신청했는데 10일째 처리가 안 되고 있어요. 그리고 마지막으로 정기예금 계좌를 해지하려는데 영업점에서 시스템 점검 이유로 3일째 처리가 안 되고 있어요.
complex_035,complex,대출|펀드,설명의무위반|손실민원부실,대출 금리 산정 기준을 설명받은 적이 없어요. 그리고 펀드 손실 원인을 물었는데 명확한 설명을 못 들었어요.
complex_036,complex,대출|펀드,채권추심과다|환매지연,연체된 지 며칠 안 됐는데 추심 연락이 하루에 여러 번 와요. 아 그리고 펀드 환매금이 안내받은 날짜보다 5일 늦게 들어왔어요.
complex_037,complex,대출|펀드,연체이자과다|위험설명부족,"며칠 연체했다고 연체이자가 150000원이나 붙었어요, 너무 과도한 것 같아요. 그리고 펀드 가입할 때 원금손실 위험에 대한 설명을 제대로 못 들었어요."
complex_038,complex,대출|펀드|예금,채권추심과다|해지절차복잡|금리적용오류,연체 초기인데도 채권추심 연락 방식이 지나친 것 같아요. 그리고 펀드를 해지하려는데 절차가 너무 복잡하고 안내가 부족해요. 그리고 마지막으로 예금 가입할 때 1.2% 금리라고 들었는데 만기 때 확인하니 다르게 계산돼 있었어요.
complex_039,complex,대출|ELS,중도상환수수료|상환금과소지급,중도상환수수료가 계약 당시 안내받은 것보다 80000원 더 청구됐어요. 또 ELS 만기 정산 금액이 안내받은 것과 3만원 차이가 나요.
complex_040,complex,대출|예금,연체이자과다|인출제한,"며칠 연체했다고 연체이자가 150000원이나 붙었어요, 너무 과도한 것 같아요. 아 그리고 제 명의 예금 계좌인데 인출이 갑자기 제한돼서 15만원을 못 찾고 있어요."
complex_041,complex,대출|펀드,설명의무위반|위험설명부족,대출 상품 설명을 제대로 못 듣고 계약서에 서명부터 했어요. 게다가 펀드 가입할 때 원금손실 위험에 대한 설명을 제대로 못 들었어요.
complex_042,complex,대출|적금|ELS,금리인상미통지|중도해지위약금|원금손실설명부족,대출 금리가 0.5%p 올랐는데 사전 안내 문자나 메일을 받은 적이 없어요. 또 적금을 중도해지했는데 위약금이 예상보다 120000원 더 나왔어요. 그리고 마지막으로 ELS가 예금처럼 안전하다고 들었는데 실제론 원금손실 위험이 컸어요.
complex_043,complex,대출|예금,중도상환수수료|거래오류,대출을 조기상환했는데 수수료가 200000원 예상보다 많이 나왔어요. 또 정기예금 만기 지급액이 안내받은 금액보다 30000원 적게 들어왔어요.
complex_044,complex,대출|펀드,연체이자과다|해지절차복잡,연체이자 계산이 약관과 다르게 120000원 더 붙은 것 같아요. 게다가 펀드 해지 신청 방법을 문의했는데 명확한 답을 못 받았어요.
complex_045,complex,대출|ELS,설명의무위반|중도해지손실,대출 금리 산정 기준을 설명받은 적이 없어요. 또 ELS 조기해지 시 손실 규모 12만원에 대한 설명이 부족했어요.
complex_046,complex,펀드|적금,수수료미고지|우대금리설명부족,펀드 운용보수 외에 추가로 30000원이 빠져나간 이유를 모르겠어요. 게다가 적금 가입할 때 우대금리 0.8% 조건을 제대로 설명 안 해줬어요.
complex_047,complex,펀드|ELS,해지절차복잡|중도해지손실,펀드 해지 신청 방법을 문의했는데 명확한 답을 못 받았어요. 그런데 ELS 중도상환을 요청했더니 50만원 손실을 감수해야 한다고 합니다.
complex_048,complex,펀드|대출,해지절차복잡|연체이자과다,"펀드를 해지하려는데 절차가 너무 복잡하고 안내가 부족해요. 아 그리고 며칠 연체했다고 연체이자가 150000원이나 붙었어요, 너무 과도한 것 같아요."
complex_049,complex,펀드|예금|적금,손실민원부실|금리적용오류|우대금리설명부족,펀드 손실 원인을 물었는데 명확한 설명을 못 들었어요. 게다가 예금 가입할 때 1.2% 금리라고 들었는데 만기 때 확인하니 다르게 계산돼 있었어요. 그리고 마지막으로 적금 가입할 때 우대금리 0.8% 조건을 제대로 설명 안 해줬어요.
complex_050,complex,펀드|ELS,수수료미고지|배상비율불만,가입 시 안내받지 못한 보수가 50000원 차감돼 있었어요. 그런데 배상비율 0.5%가 어떻게 계산된 건지 설명을 못 들었어요.
complex_051,complex,펀드|ELS,수수료미고지|분쟁조정안내부족,펀드 운용보수 외에 추가로 30000원이 빠져나간 이유를 모르겠어요. 그런데 ELS 관련 분쟁조정 신청 절차를 안내받지 못했어요.
complex_052,complex,펀드|예금,해지절차복잡|금리적용오류,펀드 해지 신청 방법을 문의했는데 명확한 답을 못 받았어요. 아 그리고 예금 가입할 때 1.2% 금리라고 들었는데 만기 때 확인하니 다르게 계산돼 있었어요.
complex_053,complex,펀드|대출|예금,해지절차복잡|채권추심과다|명의도용,펀드 해지 신청 방법을 문의했는데 명확한 답을 못 받았어요. 그런데 대출 연체 관련 추심 전화가 너무 잦고 부담스러워요. 그리고 마지막으로 제 명의로 모르는 예금 계좌가 개설된 걸 발견했어요. 신청한 적이 없습니다.
complex_054,complex,펀드|적금,환매지연|만기지급거절,펀드 환매를 신청했는데 10일째 처리가 안 되고 있어요. 그리고 만기된 적금을 찾으러 갔는데 본점 승인 대기 때문에 지급을 미루고 있어요.
complex_055,complex,펀드|적금,위험설명부족|중도해지위약금,펀드 가입할 때 원금손실 위험에 대한 설명을 제대로 못 들었어요. 아 그리고 급하게 적금을 해지했더니 계약서에 없던 수수료가 30000원 붙었어요.
complex_056,complex,펀드|예금,손실민원부실|인출제한,펀드 손실 원인을 물었는데 명확한 설명을 못 들었어요. 게다가 정상 거래 중이던 계좌가 이유 설명도 없이 지급정지돼서 30만원이 묶여 있어요.
complex_057,complex,펀드|적금|대출,손실민원부실|자동이체누락안내|연체이자과다,"펀드 손실에 대한 민원 답변이 원론적인 얘기뿐이었어요. 게다가 자동이체 실패 안내를 못 받아서 우대금리 0.5%를 놓쳤어요. 그리고 마지막으로 며칠 연체했다고 연체이자가 150000원이나 붙었어요, 너무 과도한 것 같아요."
complex_058,complex,펀드|적금,환매지연|자동이체누락안내,펀드 환매를 신청했는데 10일째 처리가 안 되고 있어요. 그리고 이체 실패로 우대조건이 깨졌다는 걸 만기 때가 돼서야 알게 됐어요.
complex_059,complex,펀드|예금,손실민원부실|명의도용,펀드 손실에 대한 민원 답변이 원론적인 얘기뿐이었어요. 게다가 제 명의로 모르는 예금 계좌가 개설된 걸 발견했어요. 신청한 적이 없습니다.
complex_060,complex,펀드|적금,환매지연|민원처리지연,펀드 환매를 신청했는데 10일째 처리가 안 되고 있어요. 아 그리고 적금 관련 문의를 넣었는데 14일째 답변이 없어요.
complex_061,complex,ELS|예금,배상비율불만|인출제한,배상비율 0.5%가 어떻게 계산된 건지 설명을 못 들었어요. 그런데 예금 계좌에서 12만원을 인출하려는데 시스템에서 계속 거부돼요.
complex_062,complex,ELS|예금,분쟁조정안내부족|인출제한,ELS 민원을 제기했는데 분쟁조정 제도에 대한 안내가 없었어요. 그런데 정상 거래 중이던 계좌가 이유 설명도 없이 지급정지돼서 30만원이 묶여 있어요.
complex_063,complex,ELS|펀드,분쟁조정안내부족|해지절차복잡,ELS 관련 분쟁조정 신청 절차를 안내받지 못했어요. 아 그리고 펀드 해지 신청 방법을 문의했는데 명확한 답을 못 받았어요.
complex_064,complex,ELS|대출|적금,배상비율불만|중도상환수수료|민원처리지연,"ELS 배상 협상에서 제시된 1.0%가 부당하게 낮다고 생각해요. 아 그리고 중도상환수수료가 계약 당시 안내받은 것보다 80000원 더 청구됐어요. 그리고 마지막으로 적금 우대금리 문의했는데 콜센터에서 계속 확인 중이라고만 해요, 10일째요."
complex_065,complex,ELS|펀드,분쟁조정안내부족|손실민원부실,ELS 손실 관련해서 금감원 분쟁조정을 어떻게 신청하는지 몰라요. 그런데 펀드 손실에 대한 민원 답변이 원론적인 얘기뿐이었어요.
complex_066,complex,ELS|펀드,중도해지손실|수수료미고지,ELS 조기해지 시 손실 규모 12만원에 대한 설명이 부족했어요. 또 가입 시 안내받지 못한 보수가 50000원 차감돼 있었어요.
complex_067,complex,ELS|적금,분쟁조정안내부족|민원처리지연,"ELS 관련 분쟁조정 신청 절차를 안내받지 못했어요. 또 적금 우대금리 문의했는데 콜센터에서 계속 확인 중이라고만 해요, 10일째요."
complex_068,complex,ELS|펀드|대출,분쟁조정안내부족|환매지연|설명의무위반,ELS 관련 분쟁조정 신청 절차를 안내받지 못했어요. 게다가 펀드 환매를 신청했는데 10일째 처리가 안 되고 있어요. 그리고 마지막으로 대출 조건에 대한 설명 없이 빠르게 서류만 작성하고 끝났어요.
complex_069,complex,ELS|대출,중도해지손실|설명의무위반,ELS 조기해지 시 손실 규모 12만원에 대한 설명이 부족했어요. 또 대출 상품 설명을 제대로 못 듣고 계약서에 서명부터 했어요.
complex_070,complex,ELS|대출,상환금과소지급|채권추심과다,ELS 만기 정산 금액이 안내받은 것과 3만원 차이가 나요. 아 그리고 연체 초기인데도 채권추심 연락 방식이 지나친 것 같아요.
complex_071,complex,ELS|적금,원금손실설명부족|만기지급거절,ELS가 예금처럼 안전하다고 들었는데 실제론 원금손실 위험이 컸어요. 그런데 만기된 적금을 찾으러 갔는데 본점 승인 대기 때문에 지급을 미루고 있어요.
complex_072,complex,ELS|적금|대출,배상비율불만|우대금리설명부족|금리인상미통지,ELS 배상 비율이 0.5%라고 안내받았는데 산정 기준을 이해할 수가 없어요. 게다가 적금 가입할 때 우대금리 0.8% 조건을 제대로 설명 안 해줬어요. 그리고 마지막으로 변동금리 대출인데 0.3%p 인상 안내를 사전에 못 받았어요.
complex_073,complex,ELS|펀드,상환금과소지급|수수료미고지,ELS 만기 정산 금액이 안내받은 것과 3만원 차이가 나요. 그리고 펀드에서 설명받지 못한 수수료 120000원이 빠져나갔어요.
complex_074,complex,ELS|펀드,상환금과소지급|수수료미고지,ELS 만기 상환금이 예상보다 12만원 적게 나왔어요. 아 그리고 펀드에서 설명받지 못한 수수료 120000원이 빠져나갔어요.
complex_075,complex,ELS|예금,중도해지손실|명의도용,ELS 조기해지 시 손실 규모 12만원에 대한 설명이 부족했어요. 아 그리고 저도 모르는 사이에 제 명의 예금 계좌가 만들어져 있었어요.
